r0x,r0y,r0z,r1x,r1y,r1z,r2x,r2y,r2z,r3x,r3y,r3z,r4x,r4y,r4z,r5x,r5y,r5z,r6x,r6y,r6z,r7x,r7y,r7z,r8x,r8y,r8z,r9x,r9y,r9z,r10x,r10y,r10z,r11x,r11y,r11z,r12x,r12y,r12z,r13x,r13y,r13z,r14x,r14y,r14z,r15x,r15y,r15z,r16x,r16y,r16z,r17x,r17y,r17z,r18x,r18y,r18z,r19x,r19y,r19z,r20x,r20y,r20z,l0x,l0y,l0z,l1x,l1y,l1z,l2x,l2y,l2z,l3x,l3y,l3z,l4x,l4y,l4z,l5x,l5y,l5z,l6x,l6y,l6z,l7x,l7y,l7z,l8x,l8y,l8z,l9x,l9y,l9z,l10x,l10y,l10z,l11x,l11y,l11z,l12x,l12y,l12z,l13x,l13y,l13z,l14x,l14y,l14z,l15x,l15y,l15z,l16x,l16y,l16z,l17x,l17y,l17z,l18x,l18y,l18z,l19x,l19y,l19z,l20x,l20y,l20z,label
0.460666299,0.763216853,-6.23E-08,0.465949804,0.678365111,0.002781265,0.490008473,0.629021287,-0.001103428,0.516160131,0.585755289,-0.005982174,0.530514777,0.546061277,-0.011928633,0.539540827,0.653078437,-0.007583373,0.586335421,0.665516973,-0.007922661,0.613367021,0.672260463,-0.007785755,0.633956194,0.677780688,-0.008154805,0.55012238,0.69938761,-0.009309572,0.554149806,0.700353384,-0.004916693,0.539542377,0.698308587,0.001374263,0.52699852,0.702216566,0.00387502,0.547356665,0.743741453,-0.009761957,0.546407104,0.732700229,-0.005684554,0.533009529,0.732985198,0.000851939,0.520107627,0.736425579,0.003101207,0.543119073,0.781848669,-0.00979767,0.541535199,0.769517601,-0.00487205,0.528840303,0.769279242,0.002197928,0.516922235,0.771986961,0.007142895,0.629834712,0.610216916,-1.63E-07,0.599513471,0.584132373,0.02782437,0.573224068,0.582419515,0.040319663,0.555757582,0.590238631,0.045340601,0.54224515,0.606022358,0.048155371,0.558057785,0.558274686,0.037181571,0.529260755,0.589883029,0.042563871,0.512012482,0.617316306,0.043933216,0.501399517,0.6351735,0.044085365,0.552895904,0.568114042,0.020578243,0.519286156,0.603563905,0.025408994,0.502433062,0.626142681,0.0259225,0.493124276,0.642275512,0.025523107,0.551945269,0.587948382,0.004471774,0.51648432,0.614879787,0.007650276,0.496538311,0.632937133,0.008848455,0.482043445,0.642976701,0.008648758,0.552567542,0.614821255,-0.009918257,0.520357907,0.622132838,-0.011496809,0.499575704,0.628125846,-0.011715525,0.482961476,0.63243252,-0.011820127,rabbit
0.460822344,0.764860749,-7.02E-08,0.466005921,0.68070823,0.002204784,0.490062088,0.631455839,-0.001603887,0.51645416,0.588575602,-0.006289989,0.531210124,0.549146831,-0.012059798,0.539752483,0.654850721,-0.008137523,0.586392701,0.667094231,-0.00874141,0.613355935,0.674405873,-0.008878929,0.633817613,0.68037504,-0.009417046,0.550519586,0.701117218,-0.009518689,0.553340673,0.701814234,-0.005904338,0.538436592,0.699515939,-0.00021861,0.525608718,0.703193367,0.001988043,0.54793781,0.745694757,-0.009638271,0.545953095,0.734485567,-0.006379675,0.532425046,0.734848917,-0.000206652,0.519266963,0.738182664,0.002025412,0.544055998,0.783716917,-0.009363234,0.541763544,0.771556914,-0.005139016,0.528859317,0.771749616,0.001650225,0.517089844,0.774636567,0.006571005,0.630253792,0.611026525,-1.74E-07,0.600327969,0.586808681,0.027144892,0.5737257,0.586215973,0.038767651,0.556478024,0.596313059,0.04313796,0.543372571,0.614044547,0.045323115,0.557960868,0.55956012,0.034435015,0.529590249,0.596688211,0.039219752,0.513862014,0.626118302,0.040651403,0.505209625,0.644275129,0.040990483,0.552803159,0.569489002,0.018159386,0.519204795,0.60936141,0.022586208,0.503803611,0.63471812,0.023207847,0.49596417,0.652517438,0.022925282,0.551985621,0.589277625,0.002521875,0.515758395,0.61996007,0.005590039,0.497125894,0.640726447,0.007153555,0.483525306,0.651945114,0.007162974,0.553126156,0.616231024,-0.011387291,0.520290613,0.623330534,-0.013318139,0.499745548,0.629808068,-0.013600702,0.483554363,0.6346488,-0.01368547,rabbit
0.460635662,0.766464531,-6.66E-08,0.466326624,0.682063878,0.001574561,0.490984142,0.632499695,-0.002378274,0.516875207,0.589240372,-0.007140799,0.531377792,0.549726725,-0.01291917,0.539885879,0.656442046,-0.008084938,0.58625108,0.669594824,-0.008652617,0.613355696,0.677162588,-0.008802005,0.633799136,0.683195114,-0.009423465,0.550657749,0.702967405,-0.009369684,0.552416801,0.702692091,-0.006101051,0.537482798,0.700524271,-0.00088289,0.524858832,0.704303682,0.001046471,0.548101962,0.747457862,-0.009465294,0.545317888,0.735967875,-0.006501414,0.531868041,0.736234426,-0.000560956,0.518784821,0.73947072,0.001595476,0.544171512,0.785748303,-0.009250172,0.541952014,0.773838818,-0.005300325,0.529055178,0.773989201,0.001295203,0.517289639,0.776836038,0.006154831,0.630795121,0.613450408,-1.53E-07,0.601142287,0.589306355,0.026940055,0.574721098,0.587675989,0.039254431,0.557307422,0.596261978,0.04440752,0.544107139,0.612723529,0.047287188,0.558458924,0.563429892,0.03574957,0.529162288,0.594758928,0.041111056,0.511362672,0.621316075,0.042399328,0.49863562,0.639141202,0.042209875,0.553294539,0.572339177,0.019665105,0.518947184,0.607588828,0.024136169,0.501354933,0.631111801,0.024344565,0.490664244,0.648633063,0.023851991,0.552632391,0.591626942,0.004167941,0.516229749,0.617750108,0.006862894,0.496482551,0.635684431,0.007791209,0.481956273,0.646308482,0.007658592,0.553676844,0.619077802,-0.009581529,0.521300316,0.626176417,-0.011234497,0.50084126,0.632531285,-0.011215551,0.484547555,0.637316346,-0.010997681,rabbit
0.461420536,0.769399345,-7.18E-08,0.467099369,0.685348153,0.001775689,0.491226435,0.636355817,-0.002447168,0.516825199,0.592600942,-0.007532502,0.530515313,0.552049875,-0.013692202,0.54034245,0.658919573,-0.008911273,0.586820126,0.671959937,-0.00965736,0.613796115,0.679250479,-0.009878201,0.634314239,0.68527925,-0.010582509,0.551454782,0.705424607,-0.010349729,0.551865041,0.707180679,-0.007216161,0.536498308,0.705143094,-0.002017421,0.523866773,0.708439529,-0.000187921,0.548880637,0.750710487,-0.010487009,0.544550002,0.740671694,-0.007490721,0.530903697,0.741040647,-0.001351165,0.517984509,0.743814111,0.000827411,0.544882596,0.789547086,-0.010284073,0.54161036,0.778726935,-0.006073154,0.528822601,0.778167844,0.000794583,0.517373145,0.780150235,0.005762782,0.631890357,0.616463423,-1.42E-07,0.601716578,0.592095494,0.026785398,0.574900448,0.590095341,0.0383249,0.557305872,0.596812844,0.042489819,0.543625355,0.612056792,0.044476755,0.557660222,0.566714108,0.035115238,0.527700424,0.601540267,0.04012078,0.509727895,0.627950788,0.040999617,0.49580583,0.645106554,0.040464673,0.553151131,0.575059831,0.018598847,0.518532395,0.611603498,0.022696899,0.500418186,0.635118246,0.022467637,0.488743037,0.652729273,0.021607906,0.552793741,0.594424367,0.002715317,0.516350448,0.620896876,0.005559594,0.496433377,0.638983428,0.006892177,0.481173337,0.649589658,0.006882625,0.55408287,0.622188568,-0.011549054,0.521927118,0.629358053,-0.012790888,0.501359224,0.635592818,-0.012275049,0.484753281,0.640097499,-0.011768763,rabbit
0.461072981,0.772429645,-6.24E-08,0.466309279,0.686901093,0.001659918,0.49062562,0.637521684,-0.002653183,0.517094195,0.594488561,-0.007641884,0.530917346,0.5536322,-0.013720792,0.540614665,0.661176145,-0.009521036,0.587369204,0.674580157,-0.010177248,0.614338458,0.681779087,-0.010111626,0.634840012,0.687158346,-0.010553078,0.551699162,0.70943749,-0.010672389,0.5540362,0.707408905,-0.00696181,0.539192021,0.704450667,-0.001006688,0.526565015,0.708820224,0.001290798,0.548920572,0.755042315,-0.010547112,0.545848966,0.740552068,-0.007427124,0.532362759,0.74055779,-0.001319135,0.519206941,0.744437218,0.000837416,0.544846952,0.793370366,-0.010010212,0.541716516,0.778629601,-0.005908889,0.529111445,0.778864026,0.000671871,0.517482638,0.782198608,0.005398833,0.632595658,0.617194474,-1.32E-07,0.601696372,0.592824578,0.026074972,0.574990749,0.592301369,0.037087403,0.558113575,0.600996137,0.040809643,0.545195282,0.617926359,0.042391118,0.558849156,0.567410707,0.034638055,0.528729141,0.60324198,0.039208889,0.510818601,0.630107522,0.039883908,0.497395188,0.646786451,0.039421037,0.553679705,0.576232493,0.018534061,0.51915729,0.613975525,0.022352731,0.500830472,0.637785673,0.021928435,0.489150733,0.654990137,0.021060554,0.552697718,0.595909774,0.003003829,0.51639843,0.623768449,0.005814796,0.496303499,0.64191407,0.007106972,0.48112613,0.652024031,0.007256441,0.553335488,0.62402612,-0.010973861,0.521263063,0.631542861,-0.011764596,0.500787616,0.63765043,-0.010954575,0.484308124,0.641985834,-0.010163839,rabbit
0.460113376,0.773599029,-6.18E-08,0.465236127,0.688608587,0.001457685,0.489382118,0.638474286,-0.003026461,0.516095698,0.596214712,-0.008178651,0.531089425,0.556457758,-0.014327653,0.540389359,0.661789477,-0.010118228,0.587161958,0.675049782,-0.011217123,0.614078522,0.682573259,-0.011397269,0.634565592,0.688883305,-0.011943713,0.551475585,0.710124075,-0.011379254,0.553612292,0.709302127,-0.008340783,0.538654685,0.706783175,-0.002630139,0.525817633,0.711283565,-0.000359167,0.548645198,0.755770266,-0.011385259,0.545523822,0.742981911,-0.008767129,0.531806707,0.742954612,-0.002589606,0.51863575,0.746369362,-0.000244887,0.544492781,0.794257104,-0.011012957,0.541643143,0.781565726,-0.007127797,0.528896034,0.781420946,-0.000459374,0.517347574,0.783946097,0.004413589,0.633269131,0.61898154,-1.36E-07,0.602409601,0.594225824,0.027974732,0.575591207,0.593507528,0.040423002,0.558737993,0.601454616,0.045262925,0.545721471,0.617799103,0.047818404,0.55992949,0.568561256,0.03777073,0.52940464,0.603271604,0.043830309,0.510808229,0.629672587,0.045456521,0.496926665,0.646620572,0.045533959,0.554490983,0.577087522,0.021082688,0.519624352,0.614921331,0.026213003,0.500877082,0.639191508,0.026290441,0.489175051,0.657209992,0.025806449,0.553209782,0.596911013,0.005091595,0.516634107,0.62465018,0.008924811,0.496224165,0.643076181,0.010521985,0.480941623,0.653737187,0.010841419,0.553656399,0.625467241,-0.009224885,0.521346092,0.632791936,-0.009510442,0.500641346,0.638847172,-0.008503738,0.484077245,0.64327991,-0.007530915,rabbit
0.460446119,0.774605334,-6.34E-08,0.465466917,0.689199865,0.001613138,0.490170449,0.639066637,-0.002628147,0.51711148,0.596811831,-0.007618605,0.531293511,0.556141794,-0.013654281,0.541104615,0.663417518,-0.008887365,0.587426841,0.676124275,-0.009062576,0.614116788,0.683097184,-0.00868799,0.634396672,0.689101338,-0.009008201,0.55212301,0.711850524,-0.010216543,0.552713335,0.709338903,-0.00657943,0.537390828,0.706701398,-0.000949305,0.524848819,0.711397409,0.001229489,0.548794806,0.757528067,-0.010276961,0.544991553,0.74395591,-0.007328603,0.530871034,0.743264914,-0.001542148,0.518035293,0.746689081,0.000504106,0.544183314,0.796562731,-0.009920499,0.541317642,0.783792496,-0.00573661,0.528589487,0.782976806,0.000740488,0.517197311,0.785050094,0.005422441,0.633758366,0.617854476,-1.39E-07,0.60213542,0.594154119,0.029073529,0.574996769,0.593833447,0.041716725,0.557817876,0.602766395,0.046455495,0.54483664,0.62104243,0.04878604,0.558941483,0.568082929,0.038589913,0.528598964,0.604155779,0.045212541,0.510854959,0.631060362,0.047387715,0.497670978,0.647971511,0.04781498,0.554115057,0.576909125,0.021227363,0.519585967,0.616159439,0.026859511,0.501552165,0.640622079,0.027442146,0.490995646,0.659083366,0.027345039,0.553574562,0.59695977,0.004624672,0.51727128,0.626248002,0.008817222,0.496962547,0.645319164,0.011031238,0.481720716,0.656488657,0.011749823,0.554934442,0.625772893,-0.010225259,0.522250414,0.633113384,-0.010943843,0.501153111,0.639273345,-0.010050468,0.484177232,0.644289851,-0.009016288,rabbit
0.460883886,0.772428513,-6.47E-08,0.465697944,0.68817234,0.001467907,0.489941627,0.637951493,-0.00271393,0.517016172,0.595030665,-0.007698021,0.531482279,0.55459404,-0.01372965,0.541063547,0.662502825,-0.007734248,0.58716023,0.674515605,-0.007184821,0.613511682,0.681478322,-0.006351623,0.633690357,0.687698543,-0.006399924,0.551614225,0.709899843,-0.008651973,0.5528844,0.707057953,-0.004670133,0.536876678,0.70450449,0.000946404,0.524117827,0.70998764,0.003221094,0.548195422,0.754906058,-0.008301789,0.545392454,0.741508186,-0.004869376,0.53071034,0.741112947,0.00082716,0.517359316,0.745095432,0.00284374,0.543712854,0.793414772,-0.007565193,0.541773081,0.78087759,-0.003130529,0.52858156,0.779705286,0.003151661,0.517021239,0.782398105,0.007722172,0.633664131,0.618803024,-1.41E-07,0.602371991,0.59401381,0.030852212,0.575432539,0.593622744,0.044534158,0.558613658,0.602258444,0.050076704,0.546247661,0.62082696,0.053099912,0.55997926,0.566579103,0.040619493,0.529830217,0.602572262,0.048720136,0.512382805,0.629531145,0.051898383,0.499108881,0.646058917,0.052828599,0.555213273,0.575008333,0.022654671,0.520223141,0.613222957,0.02959254,0.501919508,0.637594819,0.030871589,0.490385801,0.655767322,0.030987868,0.554851055,0.594946444,0.005605529,0.51790446,0.623297274,0.010678122,0.497431636,0.641701996,0.013032733,0.481681108,0.652799129,0.013517222,0.555846989,0.624457955,-0.009534729,0.523168027,0.632137835,-0.009791507,0.502316475,0.638358951,-0.008924273,0.485256135,0.643334627,-0.008163627,rabbit
0.461415827,0.77214241,-5.77E-08,0.465978503,0.686970592,0.001386225,0.491069794,0.637098789,-0.002820484,0.518656015,0.594862461,-0.007787477,0.532603025,0.553939879,-0.013809713,0.541430235,0.660990536,-0.00826181,0.5875144,0.67381537,-0.008393903,0.614391744,0.681214154,-0.008009633,0.634700239,0.687465668,-0.00830384,0.552197754,0.709106803,-0.009402613,0.553555965,0.705616236,-0.005974201,0.538206518,0.703447044,-0.000355187,0.525937259,0.7089324,0.001949871,0.549152911,0.753794134,-0.009342571,0.546192586,0.739414692,-0.006490565,0.532276809,0.739158332,-0.000714503,0.519261718,0.743560731,0.001401235,0.544886172,0.79169488,-0.008916271,0.542184055,0.777718604,-0.004956486,0.529451966,0.777195811,0.001341193,0.518074095,0.780413508,0.005983208,0.633794308,0.617565155,-1.48E-07,0.60239464,0.592740119,0.03062184,0.574572504,0.592170179,0.043904763,0.55716151,0.601100981,0.049094908,0.544359326,0.620456398,0.051709197,0.559478641,0.56501776,0.039598864,0.52951771,0.601766288,0.047018848,0.512689829,0.629260659,0.049979154,0.500484824,0.645623207,0.050901841,0.554929435,0.573792517,0.021471813,0.520399332,0.612915993,0.028026773,0.502872348,0.637302279,0.029468479,0.492313236,0.655334175,0.02983371,0.554730713,0.59376806,0.004267451,0.518144548,0.623703182,0.009025081,0.498384029,0.643028736,0.012033442,0.483014137,0.653951943,0.013090693,0.556334674,0.622912049,-0.011081916,0.52355063,0.630898535,-0.011841215,0.50286597,0.636956632,-0.01076474,0.485797346,0.641732931,-0.009649822,rabbit
0.461479217,0.77055043,-6.48E-08,0.466172159,0.686041057,0.001277559,0.491201758,0.636272848,-0.002852189,0.51856631,0.593361735,-0.007789882,0.532330096,0.551983714,-0.013803336,0.541577935,0.660112083,-0.007993932,0.587672412,0.673349798,-0.008131965,0.614482164,0.680612445,-0.007741871,0.634759247,0.686747551,-0.008077952,0.552227736,0.707552314,-0.009212227,0.553435385,0.706668735,-0.00624751,0.537503481,0.704590976,-0.001064507,0.524746418,0.709051013,0.00107651,0.549197853,0.75259608,-0.009224229,0.545965016,0.740784109,-0.006799643,0.531570554,0.740682721,-0.001152278,0.518278718,0.743909538,0.001031499,0.544848204,0.79122144,-0.008882146,0.542171121,0.779298246,-0.005335289,0.528971732,0.778617859,0.000863459,0.517430782,0.781154394,0.005557343,0.633844614,0.61680299,-1.48E-07,0.602622688,0.595351994,0.030128293,0.574778378,0.595467031,0.04346754,0.557241917,0.603968799,0.048833903,0.543869495,0.621259749,0.051670406,0.558945537,0.566884756,0.039251111,0.528903246,0.603596032,0.046572361,0.511343718,0.630848885,0.049102221,0.498028994,0.647601664,0.049485534,0.554742098,0.574450135,0.021369625,0.520688176,0.614506423,0.02757927,0.503463984,0.638979375,0.028250065,0.493505418,0.656704068,0.027943419,0.55458504,0.593813002,0.004374544,0.518645167,0.624460757,0.008720339,0.498773873,0.643900275,0.010790222,0.483671188,0.654878139,0.011135203,0.556002498,0.622534037,-0.010761474,0.523678184,0.629954994,-0.011873078,0.50287056,0.635823846,-0.011422687,0.486037642,0.640488684,-0.010857302,rabbit
